Brand,Category,Product Name,Main Ingredient,Ingredients,Skin Type,Benefit,Description
The Body Shop,Moisturizers,Roots of Strengthâ„¢ Firming Shaping Essence Lotion,Soya,"Aqua / Water / Eau, Glycerin, Propylene Glycol, Dipropylene Glycol, Butylene Glycol, Phenoxyethanol, PEG-60 Hydrogenated Castor Oil, Arginine, Chlorphenesin, PEG-20, Salicylic Acid, Ruscus Aculeatus Root Extract, Sodium Hyaluronate, Xanthan Gum, Parfum / Fragrance, Phospholipids, Zingiber Officinale Root Extract / Ginger Root Extract, Disodium EDTA, Adenosine, Panax Ginseng Root Extract, Glycine Soja Oil / Soybean Oil, Tocopherol, Limonene, Citral, Linalool, Geraniol, Citric Acid.",All,"Infused with root extracts, this refreshing and lightweight daily essence lotion combines the lightweight freshness of water with the comfort of a moisturizing gel. Your skin is instantly replenished with moisture and comfort. Your skinâ€™s texture looks refined and firmer as if reshaped.  Use after cleansing to activate your skin before using a serum.","['100% vegetarian', ' Firming and shaping lotion', 'Lightweight hydration', 'Enriched with 3 root extracts: Ginger from Madagascar, Ginseng from China and Ruscus from Europe and Community Trade  Soya Oil  from Brazil', 'Skin feels instantly replenished with moisture and comfort.*', 'Dermatologically tested. Suitable for sensitive skin', 'Formulated without mineral oil, paraffin and petrolatum.*Self-assessment on 104 women']"
The Body Shop,Face Cleansers,Aloe Calming Foaming Wash,Aloe Vera,"Aqua/Water (Solvent), Pentylene Glycol (Solvent), Sodium Cocoamphoacetate (Surfactant), Sorbitol (Humectant), Glycerin (Humectant), Butylene Glycol (Humectant), Citric Acid (pH Adjuster), Sodium Chloride (Viscosity Modifier), Sodium Laureth Sulfate (Surfactant), Disodium Cocoyl Glutamate (Surfactant), Polyglyceryl-2 Caprate (Skin-Conditioning Agent), Polysorbate 20 (Emulsifier), Coco-Glucoside (Surfactant), Levulinic Acid (Skin Conditioning Agent), Sodium Hydroxide (pH Adjuster), p-Anisic Acid (pH Modifier), Sodium Cocoyl Glutamate (Surfactant), Aloe Barbadensis Leaf Juice (Skin Conditioning Agent).",Sensitive,"Gently cleanse your skin with our refreshing Aloe face wash. Your skin will be left feeling clean, fresh and calmed. Our foaming wash provides daily cleansing for sensitive skin.","['Foaming Face Wash', ' Formulated for sensitive skin', 'No added fragrance, color or alcohol', 'Formulated without preservatives', ' Enriched with community trade Aloe Vera from Mexico']"
The Body Shop,Face Cleansers,Drops of Youthâ„¢ Youth Gentle Foamwash,Edelweiss Stem Cells,"Aqua/Water /Eau, Glycerin, Sucrose, Coco-Glucoside, Propanediol, Disodium Cocoyl Glutamate, Polyglyceryl-4 Caprate, Sodium Cocoyl Glutamate, Sucrose Laurate, Sodium Benzoate, Salicylic Acid, Parfum/Fragrance, Linalool, Citronellol, Eryngium Maritimum Extract, Crithmum Maritimum Extract, Orbignya Oleifera Seed Oil, Leontopodium Alpinum Callus Culture Extract, Citric Acid, Xanthan Gum, Sodium Hydroxide.",All,"Enriched with plant stem cells, our instantly foaming face wash upon rinse-off leaves skin fresh and replenished. The youth-enhancing formula thoroughly cleanses the skin without drying, leaving your skin feeling smoother, softer and renewed.  ","['100% vegetarian', ' Instantly foaming, non-drying daily face wash', 'Enriched with 3 plant stem cells:  Edelweiss   from the Italian alps,  Criste Marine  and  Sea Holly  from the Brittany Coast and Community Trade organic  Babassu Oil  from Brazil ', '96% agree skin feels fresher after the very first use*', 'Dermatologically tested', 'Suitable for sensitive skin.*Self-assessment on 115 women']"
The Body Shop,Toners,Chinese Ginseng & Rice Clarifying Milky Toner,Sesame Oil,"Aqua/?Water/?Eau, Propanediol, Butylene Glycol, Sesamum Indicum Seed Oil/?Sesamum Indicum (Sesame) Seed Oil, Phenoxyethanol, Caprylyl Glycol, Parfum/?Fragrance, Acrylates/?C10-30 Alkyl Acrylate Crosspolymer, Propylene Glycol, Trisodium Ethylenediamine Disuccinate, Panax Ginseng Root Extract/?Panax Ginseng (Ginseng) Root Extract, Limonene, Sodium Hydroxide, Citral, Citronellol, Linalool, Eugenol, Dextrin, Oryza Sativa Extract/?Oryza Sativa (Rice) Extract",All,"Enriched with Chinese rice and ginseng extract and Community Trade sesame seed oil from Nicaragua, our 100% vegan formula leaves skin  looking visibly smoother, brighter and revitalized.","[' For brighter-looking skin', 'Infused with Chinese rice and ginseng extract and Community Trade sesame seed oil from Nicaragua', '100% vegan', 'Formulated without alcohol', '82% of women agree that their skin looked instantly brighter (based on trial results from 107 women)']"
The Body Shop,Face Cleansers,Aloe Calming Cream Cleanser,Aloe Vera,"Aqua/Water (Solvent), Pentylene Glycol (Solvent), Butylene Glycol (Humectant), Caprylic/Capric Triglyceride (Emollient), Sorbitol (Humectant), Glycerin (Humectant), Glyceryl Stearate Citrate (Skin-Conditioning Agent), Propanediol (Viscosity Modifier), Cetearyl Alcohol (Emulsifier), Glyceryl Stearate (Emulsifying Agent), Dimethicone (Skin Conditioning Agent), Butyrospermum Parkii Butter/Butyrospermum Parkii (Shea) Butter (Skin Conditioning Agent - Emollient), Orbignya Oleifera Seed Oil (Emollient), Caprylyl Glycol (Skin Conditioning Agent), Acrylates/C10-30 Alkyl Acrylate Crosspolymer (Stabiliser/Viscosity Modifier), Xanthan Gum (Viscosity Modifier), Disodium Phosphate (pH Buffer), Aloe Barbadensis Leaf Juice (Skin Conditioning Agent), Sodium Hydroxide (pH Adjuster), Citric Acid (pH Adjuster).",Sensitive,"This comforting rich cream cleanser moisturizes and gently cleanses sensitive skin. Melt away impurities and reveal skin that feels clean, refreshed and calm.","['Cream Cleanser', ' Formulated for sensitive skin ', 'No added fragrance, color or alcohol', 'Formulated without preservatives', ' Enriched with community trade Aloe Vera from Mexico']"
The Body Shop,Moisturizers,Vitamin C Glow-protect Lotion SPF 30,Camu Camu,"Water (Solvent/Diluent), Ethylhexyl Methoxycinnamate (Sunscreen), Isododecane (Solvent), Octisalate (Sunscreen), Octocrylene (Sunscreen), Hydrogenated Polydecene (Skin Conditioning Agent), Glycerin (Humectant), Glyceryl Stearate (Emulsifier), Arachidyl Alcohol (Emulsion Stabiliser), Butyl Methoxydibenzoylmethane (Sunscreen), Caprylyl Glycol (Skin Conditioning Agent), Behenyl Alcohol (Emollient), PEG-100 Stearate (Surfactant), Arachidyl Glucoside (Surfactant/Emulsifying Agent), Cetyl Alcohol (Emulsifier), Sesamum Indicum (Sesame) Seed Oil (Skin-Conditioning Agent), Tetrahexyldecyl Ascorbate (Antioxidant), Phenoxyethanol (Preservative), Acrylamide/Ammonium Acrylate Copolymer (Binder), Fragrance (Fragrance), Xanthan Gum (Viscosity Modifier), Dimethicone (Skin Conditioning Agent), Polyisobutene (Binder), Myrciaria Dubia Fruit Extract (Skin-Conditioning Agent), Disodium EDTA (Chelating Agent), Sorbic Acid (Preservative), Linalool (Fragrance Ingredient), Polysorbate 20 (Emulsifier), Sorbitan Isostearate (Emulsifier), Limonene (Fragrance Ingredient), Benzyl Benzoate (Solvent), Potassium Sorbate (Preservative), Hexyl Cinnamal (Fragrance Ingredient), Citronellol (Fragrance Ingredient).",Dry,"Enhance the natural radiance of your skin while helping to protect your complexion from the sun with our Vitamin C Glow-Protect Lotion SPF30. Ideal for daily use to hydrate and help to protect, leaving the skin looking glowing.","['For dull, tired, grumpy skin', 'SPF30 with UVA and UVB protection', 'Hydrates and helps protects skin', 'Gives skin a brighter, more radiant appearance', 'Softens and smoothes', 'Learn how to get glowing skin! ']"
The Body Shop,Serums,Drops Of Youthâ„¢ Youth Concentrate,Edelweiss Stem Cells,"Aqua/Water/Eau, Glycerin, Propanediol, Alcohol Denat., Fagus Sylvatica Bud Extract, Sodium Hyaluronate, Benzyl Alcohol, Xanthan Gum, Salicylic Acid, Sodium Hydroxide, Adenosine, Parfum/Fragrance, Leontopodium Alpinum Callus Culture Extract, Linalool, Crithmum Maritimum Extract, Eryngium Maritimum Extract, Orbignya Oleifera Seed Oil, Citronellol, Malva Sylvestris Flower Extract/Mallow Flower Extract, Benzoic Acid, Sorbic Acid, Citric Acid, Limonene, Sodium Benzoate, Potassium Sorbate.",All,"Target the first signs of ageing with our youth-enhancing concentrate. This refreshing gel-like serum is infused with three plant stem cells, and leaves skin feeling instantly smoother and replenished with moisture. Skin unveils a healthy luminousity and a youthful bounce. ","['Quick-absorbing, non-sticky serum', ' Instantly moisturizing', ' Silicone-free & Paraben-free', ' 99% of ingredients are of natural origin ', ' Enriched with  Edelweiss Plant Cells from Italy,  Sea Holly Plant Cells &   Criste Marine Plant Cells from France', ' Pores look tightened, Skin feels bouncier, Lines appear smoothed*', ' Skin looks more luminous**', ' * Results from Youth Concentrate self-assessment on 112 women ', ' ** Results from Youth Concentrate self-assessment on 154 women ', ' Follow our  step by step Drops Of Youth â„¢ Routine ', ' This product is not available for shipment to Alaska and Hawaii ']"
The Body Shop,Overnight Treatments,Vitamin E Nourishing Night Cream,Cocoa,"Aqua/Water/Eau, Butylene Glycol, Isocetyl Stearate, Cetyl Alcohol, Coco-Caprylate/Caprate, Isopropyl Palmitate, Glycerin, Cetearyl Alcohol, Glycine Soja Oil/Glycine Soja (Soybean) Oil, Myristyl Myristate, Glyceryl Stearate, PEG-100 Stearate, Caprylic/Capric Triglyceride, Theobroma Cacao Seed Butter/Theobroma Cacao (Cocoa) Seed Butter, Phenoxyethanol, Caprylyl Glycol, Rubus Idaeus Seed Oil/Rubus Idaeus (Raspberry) Seed Oil, Tocopheryl Acetate, Carbomer, Panthenol, Parfum/Fragrance, Sodium Stearoyl Glutamate, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, Sodium Hyaluronate, Benzyl Benzoate, Benzyl Alcohol, Geraniol, Linalool, Limonene, Hydroxycitronellal, Alpha-Isomethyl Ionone, Citric Acid, CI 14700/Red 4, CI 19140/Yellow 5.",All,"The Vitamin E Nourishing Night Cream contains rich wheat germ oil to replenish and revitalize skin while you snooze. A rich, nourishing cream that helps replenish antioxidant and moisture levels overnight, when the skin is at its most receptive. It leaves skin feeling soft and smooth. ","['Intensively hydrates', 'Works when skin is at its most receptive', ' Pairs well with others products from the  Vitamin E Collection']"
The Body Shop,Moisturizers,Vitamin E Intense Moisturizer,Olive,"Aqua/Water/Eau, Glycerin, Dimethicone, Olea Europaea Fruit Oil/Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii Butter/Butyrospermum Parkii (Shea) Butter, Butylene Glycol, Cetearyl Alcohol, Cetearyl Glucoside, Triticum Vulgare Germ Oil/Triticum Vulgare (Wheat) Germ Oil, Cyclopentasiloxane, Vitis Vinifera Seed Oil/Vitis Vinifera (Grape) Seed Oil, Cetyl Alcohol, Sodium Polyacrylate, Polysilicone-11, Phenoxyethanol, Dimethicone Crosspolymer, Tocopherol, Panthenol, Parfum/Fragrance, Sodium Stearoyl Glutamate, Xanthan Gum, Methylparaben, Benzyl Benzoate, Propylene Glycol, Retinyl Palmitate, Sodium Hyaluronate, Disodium EDTA, Ethylparaben, Butylparaben, Hydroxycitronellal, Sodium Hydroxide, Geraniol, Myristyl Alcohol, Stearyl Alcohol, Propylparaben, Saccharide Isomerate, Linalool, Limonene, Alpha-Isomethyl Ionone, Cinnamyl Alcohol, Citric Acid.",All,"Everybody's favorite and our bestseller, the Vitamin E Intense Moisturizer, is an easily absorbed daily moisturizing cream that has the lightness of a lotion with the moisturizing benefits of a cream. It helps protect the skin, leaving it feeling soft, smooth and healthy-looking. ","['Targets dry skin on face ', 'Long-lasting hydration', ' Leaves skin feeling silky-smooth', ' Enriched withd wheatgerm oil', "" Helps to restore skin's natural moisture barrier"", ' Discover the benefits of Vitamin E for all skin types']"
The Body Shop,Moisturizers,Vitamin E Gel Moisture Cream,Aloe Vera,"Aqua/Water/Eau, Butylene Glycol, Alcohol Denat., Glycerin, Carbomer, Polyglyceryl-4 Caprate, Phenoxyethanol, Caprylyl Glycol, Tocopheryl Acetate, Sodium Hydroxide, Sodium Hyaluronate, Parfum/Fragrance, Salicylic Acid, Trisodium Ethylenediamine Disuccinate, Benzyl Benzoate, Rubus Idaeus Juice/Rubus Idaeus (Raspberry) Juice, Benzyl Alcohol, Geraniol, Linalool, Limonene, Hydroxycitronellal, Sodium Benzoate, Alpha-Isomethyl Ionone, Potassium Sorbate, CI 14700/Red 4.",Combination,"Help protect your skin from external aggressors and lock in moisture for 48-hours of hydration with our new Vitamin E Gel Moisture Cream. This oil-free, lightweight and fast absorbing daily moisturizer is formulated with natural origin hyaluronic acid derived from bio-fermented wheat-germ from Pomacle, France and raspberry extract, containing Vitamin E, to refresh and re-plump your skin with moisture. 
","['Oil-free daily facial moisturizer ', ' Enriched with Community Trade Organic Aloe Vera']"
The Body Shop,NA,Vitamin E Moisture Cream,Beeswax,"Aqua/Water/Eau, Isopropyl Palmitate, Glycerin, Bis-Diglyceryl Polyacyladipate-2, Cetyl Esters, Glyceryl Stearate, PEG-100 Stearate, Steareth-2, Cera Alba/Beeswax/Cire d’abeille, Phenoxyethanol, Tocopheryl Acetate, Steareth-20, Carbomer, Triticum Vulgare Germ Oil/Triticum Vulgare (Wheat) Germ Oil, p-Anisic Acid, Ethylhexylglycerin, Parfum/Fragrance, Sodium Hydroxide, Aloe Barbadensis Leaf Juice Powder, Butyrospermum Parkii Butter/Butyrospermum Parkii (Shea) Butter, Benzyl Benzoate, Sodium Hyaluronate, Disodium EDTA, Hydroxycitronellal, Limonene, Geraniol, Linalool, Citronellol, Cinnamyl Alcohol, Alpha-Isomethyl Ionone, Citric Acid, CI 14700/Red 4, CI 19140/Yellow 5.",All,"Our lightweight, easily absorbed facial moisturizer protects and locks in moisture for all-day hydration, to leave skin feeling fresh, silky-soft and looking more radiant. Now formulated with vitamin E, plumping hyaluronic acid and wheatgerm oil, its moisturizing effects can help ward off dryness. Use after cleansing and toning, as part of your personalized skincare program.","['Hydrates skin leaving it smooth and fresh ', 'Light and easily absorbed ', 'Use daily for softer, healthy-looking skin ', 'Use fingertips to apply to face and neck after cleansing and toning ', 'Suitable for all skin types, particularly dry skin']"
The Body Shop,Moisturizers,Aloe Soothing Day Cream,Aloe Vera,"Aqua/Water/Eau, Caprylic/Capric Triglyceride, Cocos Nucifera Oil/Cocos Nucifera (Coconut) Oil,Glycerin, Propanediol, Butylene Glycol, Cetearyl Alcohol, Myristyl Myristate, Sesamum Indicum Seed Oil/Sesamum Indicum (Sesame) Seed Oil, Cetyl Alcohol, Myristyl Alcohol, Stearic Acid, Cetearyl Glucoside, Palmitic Acid, Phenoxyethanol, Caprylyl Glycol, Aloe Barbadensis Leaf Juice Powder, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Myristyl Glucoside, Sodium Gluconate, Centella Asiatica Leaf Extract, Sodium Hydroxide, Xanthan Gum, Myristic Acid.",Sensitive,"The Aloe Soothing Day Cream is a gentle moisturizer that helps calm sensitive and dry skin. Formulated without fragrance, color, preservatives and alcohol, this is the perfect choice for sensitive skin.","['Formulated for sensitive skin', ' Enriched with community trade Aloe Vera from Mexico']"
